Sex,Age,Height,Weight,NOC,Year,Season,Sport,Medal
1,28.0,184.0,85.0,63,2014,1,23,Bronze
0,22.0,170.0,125.0,157,2016,0,47,No Medal
1,23.0,167.0,64.0,59,2016,0,20,No Medal
1,23.0,167.0,64.0,59,2016,0,20,No Medal
1,23.0,167.0,64.0,59,2016,0,20,No Medal
1,23.0,167.0,64.0,59,2016,0,20,No Medal
1,23.0,167.0,64.0,59,2016,0,20,No Medal
1,23.0,167.0,64.0,59,2016,0,20,No Medal
1,26.0,170.0,65.0,59,2016,0,2,No Medal
1,21.0,198.0,90.0,93,2016,0,29,Bronze
0,21.0,165.0,49.0,12,2016,0,41,Bronze
1,31.0,182.0,86.0,64,2016,0,21,Silver
1,23.0,175.0,75.0,2,2016,0,8,No Medal
1,20.0,175.0,66.0,27,2016,0,2,No Medal
0,20.0,164.0,58.0,87,2014,1,0,No Medal
0,23.0,178.0,72.0,135,2016,0,21,No Medal
1,24.0,180.0,104.0,89,2016,0,47,No Medal
0,30.0,167.0,58.0,88,2016,0,14,No Medal
0,30.0,167.0,58.0,88,2016,0,14,No Medal
1,28.0,175.0,70.0,198,2014,1,16,No Medal
1,28.0,175.0,70.0,198,2014,1,16,Bronze
0,30.0,163.0,52.0,198,2016,0,12,No Medal
1,28.0,203.0,97.0,56,2016,0,45,No Medal
0,18.0,172.0,61.0,56,2016,0,13,No Medal
1,31.0,197.0,87.0,56,2016,0,45,No Medal
1,36.0,170.0,60.0,56,2016,0,32,No Medal
1,36.0,170.0,60.0,56,2016,0,32,No Medal
0,35.0,165.0,57.0,56,2016,0,32,No Medal
1,27.0,188.0,89.0,56,2016,0,45,No Medal
1,24.0,176.0,60.0,56,2016,0,8,No Medal
1,26.0,175.0,81.0,56,2016,0,24,No Medal
1,28.0,173.0,77.0,56,2016,0,47,No Medal
1,25.0,170.0,94.0,56,2016,0,47,No Medal
1,23.0,184.0,68.0,2,2016,0,17,No Medal
0,19.0,160.0,46.0,56,2016,0,39,No Medal
1,20.0,165.0,60.0,56,2016,0,24,No Medal
1,26.0,207.0,90.0,56,2016,0,45,No Medal
1,26.0,170.0,80.0,87,2016,0,48,Bronze
1,27.0,176.0,56.0,17,2016,0,2,No Medal
1,27.0,176.0,56.0,17,2016,0,2,No Medal
0,27.0,180.0,67.0,40,2016,0,45,No Medal
1,30.0,165.0,60.0,98,2016,0,8,No Medal
0,17.0,147.0,50.0,28,2016,0,2,No Medal
1,28.0,188.0,91.0,12,2016,0,8,No Medal
1,26.0,190.0,130.0,199,2016,0,48,No Medal
1,33.0,178.0,74.0,89,2016,0,8,No Medal
1,26.0,172.0,74.0,199,2016,0,48,No Medal
1,29.0,192.0,117.0,185,2016,0,24,No Medal
1,26.0,172.0,60.0,159,2016,0,8,No Medal
1,31.0,180.0,83.0,87,2016,0,15,No Medal
0,24.0,160.0,62.0,33,2016,0,13,No Medal
0,24.0,160.0,62.0,33,2016,0,13,No Medal
1,30.0,184.0,85.0,72,2016,0,2,No Medal
1,22.0,176.0,66.0,121,2016,0,17,No Medal
1,24.0,192.0,68.0,61,2016,0,2,No Medal
1,20.0,180.0,74.0,172,2016,0,38,No Medal
1,24.0,166.0,52.0,7,2016,0,8,No Medal
1,31.0,177.0,68.0,59,2016,0,3,No Medal
0,27.0,162.0,56.0,99,2016,0,30,No Medal
0,31.0,168.0,60.0,64,2016,0,17,No Medal
1,35.0,170.0,68.0,137,2016,0,40,No Medal
0,21.0,175.0,75.0,26,2016,0,46,No Medal
1,24.0,161.0,62.0,159,2016,0,20,Silver
1,24.0,161.0,62.0,159,2016,0,20,No Medal
1,24.0,161.0,62.0,159,2016,0,20,Silver
1,24.0,161.0,62.0,159,2016,0,20,Bronze
0,23.0,182.0,78.0,40,2016,0,45,No Medal
0,17.0,166.0,60.0,106,2014,1,0,No Medal
0,17.0,166.0,60.0,106,2014,1,0,No Medal
0,17.0,166.0,60.0,106,2014,1,0,No Medal
1,30.0,197.0,92.0,10,2016,0,38,No Medal
1,30.0,197.0,92.0,10,2016,0,38,Bronze
1,27.0,210.0,88.0,56,2016,0,45,No Medal
1,41.0,186.0,86.0,56,2016,0,45,No Medal
1,28.0,183.0,85.0,56,2016,0,21,No Medal
1,25.0,188.0,87.0,56,2016,0,15,No Medal
1,25.0,188.0,87.0,56,2016,0,15,No Medal
0,19.0,170.0,62.0,37,2016,0,29,No Medal
1,33.0,178.0,61.0,176,2016,0,2,No Medal
