Sex,Age,Height,Weight,NOC,Year,Season,Sport,Medal
1,23.0,170.0,60.0,39,2012,0,25,No Medal
1,26.0,186.0,96.0,64,2002,1,24,No Medal
1,31.0,172.0,70.0,64,2000,0,3,No Medal
0,34.0,159.0,55.5,64,2000,0,32,No Medal
1,28.0,184.0,85.0,64,2014,1,24,Bronze
1,31.0,189.0,130.0,64,2000,0,2,No Medal
1,26.0,176.0,85.0,141,1998,1,0,No Medal
1,26.0,176.0,85.0,141,1998,1,0,No Medal
1,26.0,176.0,85.0,141,1998,1,0,No Medal
1,26.0,176.0,85.0,141,1998,1,0,No Medal
1,30.0,176.0,85.0,141,2002,1,0,No Medal
1,30.0,176.0,85.0,141,2002,1,0,Gold
1,30.0,176.0,85.0,141,2002,1,0,No Medal
1,30.0,176.0,85.0,141,2002,1,0,No Medal
1,30.0,176.0,85.0,141,2002,1,0,Gold
1,34.0,176.0,85.0,141,2006,1,0,No Medal
1,34.0,176.0,85.0,141,2006,1,0,Gold
0,27.0,163.0,69.0,141,2008,0,22,Gold
0,22.0,170.0,125.0,159,2016,0,49,No Medal
1,22.0,187.0,89.0,141,2000,0,50,No Medal
1,26.0,187.0,89.0,141,2004,0,50,No Medal
1,30.0,189.0,72.0,137,2000,0,30,No Medal
1,30.0,187.0,76.0,65,2012,0,2,No Medal
1,24.0,190.0,98.0,141,1998,1,8,No Medal
1,25.0,194.0,78.0,137,2000,0,40,No Medal
1,25.0,194.0,78.0,137,2000,0,40,No Medal
1,25.0,182.0,73.0,61,1998,1,11,No Medal
1,25.0,182.0,73.0,61,1998,1,11,No Medal
1,29.0,182.0,73.0,61,2002,1,11,No Medal
1,29.0,182.0,73.0,61,2002,1,11,No Medal
1,29.0,182.0,73.0,61,2002,1,11,No Medal
1,24.0,175.0,64.0,118,2012,0,9,No Medal
0,24.0,168.0,65.0,61,2004,0,2,No Medal
0,28.0,168.0,65.0,61,2008,0,2,No Medal
1,23.0,167.0,64.0,60,2016,0,21,No Medal
1,23.0,167.0,64.0,60,2016,0,21,No Medal
1,23.0,167.0,64.0,60,2016,0,21,No Medal
1,23.0,167.0,64.0,60,2016,0,21,No Medal
1,23.0,167.0,64.0,60,2016,0,21,No Medal
1,23.0,167.0,64.0,60,2016,0,21,No Medal
1,24.0,172.0,58.0,57,2000,0,43,No Medal
1,26.0,170.0,65.0,60,2016,0,2,No Medal
1,21.0,198.0,90.0,94,2016,0,30,Bronze
1,30.0,194.0,87.0,60,2008,0,16,Bronze
0,21.0,165.0,49.0,13,2016,0,43,Bronze
0,22.0,179.0,80.0,161,2008,0,2,Silver
0,26.0,179.0,80.0,161,2012,0,2,No Medal
1,23.0,178.0,76.0,7,2000,0,40,No Medal
1,23.0,178.0,76.0,7,2000,0,40,No Medal
0,19.0,185.0,72.0,60,2008,0,5,No Medal
1,26.0,167.0,65.0,49,2000,0,14,No Medal
1,24.0,180.0,83.0,24,2004,0,10,No Medal
1,28.0,180.0,83.0,24,2008,0,10,Gold
1,23.0,182.0,86.0,65,2008,0,22,Gold
1,27.0,182.0,86.0,65,2012,0,22,Gold
1,31.0,182.0,86.0,65,2016,0,22,Silver
0,30.0,182.0,73.0,7,2012,0,30,No Medal
1,22.0,178.0,70.0,75,2004,0,16,No Medal
1,22.0,185.0,82.0,41,2000,0,18,Gold
1,22.0,190.0,77.0,75,2004,0,18,No Medal
1,26.0,183.0,75.0,123,2000,0,44,No Medal
1,26.0,165.0,55.0,201,2004,0,50,Silver
0,21.0,163.0,60.0,161,2004,0,13,Silver
0,21.0,163.0,60.0,161,2004,0,13,No Medal
1,27.0,190.0,80.0,94,2012,0,2,No Medal
1,21.0,180.0,73.0,94,2008,0,18,No Medal
1,34.0,190.0,85.0,65,2004,0,22,No Medal
1,38.0,190.0,85.0,65,2008,0,22,Gold
0,35.0,155.0,43.0,75,2004,0,2,No Medal
1,18.0,168.0,60.0,136,2004,0,2,No Medal
1,19.0,175.0,75.0,3,2012,0,9,No Medal
1,23.0,175.0,75.0,3,2016,0,9,No Medal
1,34.0,188.0,96.0,94,2000,0,30,Gold
1,20.0,175.0,66.0,28,2016,0,2,No Medal
1,22.0,175.0,80.0,90,2004,0,18,No Medal
1,22.0,165.0,65.0,57,2000,0,13,No Medal
1,26.0,170.0,70.0,90,2004,0,40,No Medal
1,23.0,168.0,55.0,145,2010,1,0,No Medal
1,28.0,173.0,77.0,157,2004,0,49,No Medal
1,25.0,178.0,80.0,145,2000,0,23,No Medal
1,29.0,178.0,80.0,145,2004,0,23,No Medal
1,37.0,178.0,80.0,145,2012,0,23,No Medal
0,20.0,164.0,58.0,88,2014,1,0,No Medal
1,20.0,165.0,60.0,145,2004,0,23,No Medal
1,24.0,165.0,60.0,145,2008,0,23,No Medal
1,28.0,165.0,60.0,145,2012,0,23,No Medal
0,28.0,173.0,60.0,88,2012,0,30,No Medal
1,22.0,181.0,74.0,13,2008,0,2,No Medal
1,18.0,182.0,76.0,13,2008,0,40,No Medal
0,33.0,159.0,53.0,13,2000,0,49,No Medal
0,28.0,171.0,64.0,94,2012,0,48,No Medal
1,23.0,192.0,90.0,94,2000,0,18,No Medal
